user_id,client_location,activity,marital,tenure,gender,customer_satisfaction_score,customer_satisfaction_score_red,spending_to_lifetime,num_accounts,OBS_DATE,churn
55a0e46e-4337-42e8-b296-69c3e28b96b9,Dusseldorf,Standard,Single,41.0,M,12192.478225821713,4.876991290328685,0.0192360205972127,1.0,2018-02-05 00:00:00,0.0
4cd55fe0-01b2-4131-8190-29f19737025e,Essen,Frequent,Living together,137.0,M,10304.343727797594,4.121737491119037,0.0026597704347352,,2014-12-03 00:00:00,0.0
072f9a99-abf3-410d-9b33-6d8e1a98aa55,Munich,Frequent,Single,111.0,F,10059.186443313049,4.023674577325219,,1.0,2014-06-04 00:00:00,0.0
c5121ccc-0b6b-4117-92d5-4c696f4f4792,Hamburg,Standard,Single,51.0,F,8700.661269890412,3.4802645079561647,0.0135529669929113,,2013-10-11 00:00:00,1.0
c40fd158-803c-404a-af79-b16a9f4ac13d,Munich,Frequent,Divorced,139.0,F,6713.225034804518,2.6852900139218074,0.0059846886709199,,Not avail.,0.0
b6330572-7199-41ca-a81d-134a7c02ee96,Dortmund,Standard,Divorced,76.0,F,6002.215910430954,2.400886364172381,0.006458476224503,2.0,Not avail.,1.0
c4320f74-2c5c-4d55-be75-af98289f14bb,Stuttgart,Frequent,Divorced,102.0,F,11849.129841008838,4.739651936403535,0.0112976661325346,1.0,2016-04-29 00:00:00,0.0
37e2cebb-0bf1-47fd-8336-47f40bc1b8b9,Cologne,Standard,Living together,46.0,M,8570.959599538322,3.428383839815329,0.0074134819394363,1.0,2010-04-20 00:00:00,0.0
dceba1fe-5742-4a3b-9586-a8d7ff91e097,Frankfurt am Main,Standard,Separated,70.0,F,9076.98459844546,3.630793839378184,0.0115085857305702,1.0,2012-08-24 00:00:00,0.0
8ccfbc23-49f7-4b2c-aa78-8e25ba6c0e67,Dortmund,1,Divorced,3210.0,M,10892.79359603257,4.357117438413028,0.0084836897835956,1.0,2009-06-25 00:00:00,0.0
6b357086-08be-476f-8647-1cef84b98868,Munich,Occasional,,29.0,F,6505.320843486638,2.6021283373946558,0.0247148943955016,2.0,2017-01-15 00:00:00,0.0
d8ffdf76-20d5-4f84-9dee-5e0e2984f9f8,Munich,Occasional,Single,49.0,M,10525.90172399563,4.210360689598252,0.0275899917893624,1.0,2011-05-21 00:00:00,0.0
46aef2b3-4a05-4bf3-8b71-732fa46c5eb5,Leipzig,Frequent,Single,86.0,M,Not avail.,,0.0088093708755452,1.0,2012-10-10 00:00:00,0.0
e67a2fca-a60c-44e9-8639-0908ad191f6c,Cologne,Occasional,Separated,15.0,M,7149.384162719622,2.859753665087849,0.0481345939254687,1.0,2014-12-14 00:00:00,0.0
a9542d40-7684-4b74-899f-4c771a2e0f2c,Frankfurt am Main,Standard,Single,1590.0,M,8747.229709288045,3.4988918837152183,0.0265128473544302,1.0,2009-06-27 00:00:00,0.0
bc53d6c6-3fd9-40de-a121-5ab0e53250c8,Munich,Standard,Married,49.0,F,8827.54877811433,3.531019511245732,0.0149069968148895,2.0,2014-07-28 00:00:00,0.0
cb8cb56d-04ba-4a93-9941-49da82857c8a,Frankfurt am Main,Frequent,,103.0,M,8645.23100844304,3.458092403377216,,1.0,2014-07-21 00:00:00,0.0
7fefc119-613b-4295-b002-69eb07f99366,Munich,Frequent,Living together,106.0,M,9492.347886497151,3.796939154598861,0.0030649013084763,1.0,2014-04-19 00:00:00,0.0
c8b19a3a-af5b-4347-a82f-2d2a4aba803c,Essen,Occasional,Separated,26.0,F,6074.062668835062,2.4296250675340247,0.0082515549912698,1.0,2018-06-26 00:00:00,0.0
7b14c5da-72d8-4ad5-b793-544bc694c287,Berlin,Standard,Single,44.0,F,6808.692801158815,2.723477120463526,0.0253450242537766,1.0,2016-06-10 00:00:00,1.0
41e6fcc1-95dd-4e62-adeb-5126eb70b205,Leipzig,Standard,Living together,78.0,F,9475.808224465252,3.790323289786101,0.0052871986694768,1.0,2013-06-10 00:00:00,0.0
0632fc1b-0514-41d8-a186-064c004d52a0,Leipzig,Standard,Single,,F,Not avail.,Not avail.,0.0163338975530499,1.0,2010-01-20 00:00:00,0.0
12c25625-35ba-4a66-8251-2f93eb464c4c,Leipzig,Frequent,Married,94.0,F,9105.825932772486,3.642330373108994,0.0054034176783923,1.0,2015-01-09 00:00:00,0.0
f89204a0-06a5-4e3c-86d5-11b5f201df7d,Leipzig,Standard,Single,42.0,F,7873.60590136012,3.149442360544048,0.0135287182457525,1.0,Not avail.,0.0
9941f0a2-bdc5-420d-99ba-d8dd85b114f6,Cologne,Standard,Single,72.0,M,10099.432227019246,4.039772890807699,0.0296785629928267,2.0,2015-09-26 00:00:00,0.0
30f2e8d2-951f-40de-8795-25b94c43b9f7,Cologne,Not avail.,Separated,95.0,F,12444.02571517288,4.977610286069152,0.0154832372275098,1.0,2010-09-13 00:00:00,0.0
fc2055b0-6fd6-4fb4-ac8f-15f5911bde4e,Leipzig,Standard,Single,69.0,M,10968.155857900756,4.387262343160303,0.0152886779568812,1.0,2013-11-25 00:00:00,0.0
93d59e97-b749-4738-a1b3-f9de02e4c94e,Leipzig,Standard,Single,1440.0,F,9276.679218064291,3.710671687225717,0.01600122796545,1.0,2009-03-12 00:00:00,0.0
827435fd-35a1-4385-bab5-caf382d0c529,Hamburg,,Married,78.0,M,8429.623369598427,3.3718493478393707,0.0088770780866787,2.0,2014-09-26 00:00:00,0.0
20193c4f-4157-42a5-990d-f2cd68b8fe79,Munich,Standard,Divorced,47.0,M,10982.343600247044,4.392937440098818,0.0710715895600192,1.0,2014-12-21 00:00:00,0.0
e5c117e5-d25d-4c81-8ca1-557628f2ef6f,Essen,Occasional,Married,15.0,F,14565.411852083933,5.8261647408335735,0.0548284172624201,1.0,2011-06-19 00:00:00,0.0
f4caba6a-5fbb-4486-9048-a7b57d346f26,Leipzig,Occasional,Married,17.0,F,6342.810795066169,2.5371243180264678,0.0294109210692435,2.0,2018-06-18 00:00:00,0.0
c90a4ed6-e300-45ae-b4de-04437556b6ac,Frankfurt am Main,Frequent,Divorced,119.0,M,11131.296933885944,4.452518773554377,0.0074474791916405,2.0,2018-09-21 00:00:00,0.0
7ffcf928-d3f2-47a6-9834-e35b7a163ca0,Munich,Standard,Divorced,Not avail.,F,9059.83307680192,3.623933230720768,0.0390435430035627,1.0,2014-09-22 00:00:00,
c5587fa6-abcb-4a99-8d91-15beef3610dd,Frankfurt am Main,Frequent,Single,,F,7536.616963867494,3.0146467855469976,0.0066320587523544,1.0,2012-03-28 00:00:00,0.0
ae690256-34e1-4573-8707-5a129c01536e,Berlin,Frequent,Married,88.0,F,,,0.0086121153591059,1.0,2013-06-14 00:00:00,0.0
d60e5b88-c856-4bfa-ab1a-45dd190f1818,Munich,Frequent,Married,2400.0,F,7170.168529881019,2.868067411952408,,Not avail.,2009-03-15 00:00:00,0.0
944d16c6-5fa2-4814-835e-81c4c85af3c6,Stuttgart,Frequent,Single,99.0,F,7859.264827506931,3.1437059310027724,0.0048059881149062,1.0,2012-02-24 00:00:00,0.0
78d74969-7175-44ec-b06b-c0120dec781e,Dusseldorf,Occasional,Married,35.0,M,7104.685262180688,2.8418741048722755,0.0275142561338844,2.0,2015-11-01 00:00:00,Not avail.
68730c67-26d7-4010-8b04-abf86205ad38,Stuttgart,Standard,Single,53.0,M,7956.893425850809,3.182757370340324,0.0168102899594251,1.0,2018-09-19 00:00:00,Not avail.
62d65432-5709-4130-a873-b608254fbe29,Dusseldorf,Standard,Single,63.0,F,9447.882799893274,3.779153119957309,0.0225242090314644,2.0,2012-12-08 00:00:00,0.0
be5a0fd5-b02e-4754-b348-dc96350f6bd3,Leipzig,Not avail.,Divorced,106.0,F,6090.442820438301,2.4361771281753204,0.0063946488210309,1.0,2018-10-02 00:00:00,
7b161993-248d-4585-9094-3fa44ed603db,Berlin,Standard,Married,52.0,F,11136.735184415536,4.454694073766214,0.0123045162265441,2.0,2016-05-28 00:00:00,0.0
e7df0fae-d790-42c8-b157-56fc444c440f,Berlin,2,Divorced,64.0,F,10348.607070196043,4.139442828078417,0.0059712392649186,1.0,2011-09-28 00:00:00,0.0
5c6a943d-9c60-4933-8c59-3f053034ea3a,Berlin,Occasional,Living together,25.0,F,6943.128974127972,2.7772515896511885,0.035979016559791,1.0,2013-05-06 00:00:00,1.0
63ab0bc3-1f36-4243-9c28-abeaf500f379,Hamburg,Occasional,Divorced,21.0,F,14653.1769975628,5.86127079902512,0.0314110228534399,2.0,2011-05-15 00:00:00,0.0
71b80be5-2912-4790-9e91-31c20a13b0b2,Berlin,Standard,Not avail.,58.0,M,6355.178038230708,2.542071215292283,0.0120618274439122,1.0,2014-12-10 00:00:00,1.0
a7248a5c-cbdc-4568-a003-5051005d24ed,Essen,Frequent,Single,101.0,M,7238.706126602497,2.895482450640998,0.011198737339919,,2017-06-09 00:00:00,0.0
66c4466a-7dfa-4f16-ba95-43668f134dce,Stuttgart,Standard,Married,52.0,F,6236.6027383807705,2.4946410953523084,0.0111855187431296,2.0,2014-05-10 00:00:00,0.0
baddd325-6a80-4c6e-98c6-4c6580e71016,Leipzig,Frequent,Separated,109.0,M,9972.551297529892,3.989020519011957,0.0053864947552071,1.0,2018-10-25 00:00:00,0.0
bfc2dafa-c521-4e46-8b7c-f355f9eada3a,Cologne,Frequent,Married,90.0,M,9645.886585702076,3.8583546342808304,0.0044014533489888,1.0,2016-06-21 00:00:00,0.0
7a96ceea-0cab-4d8f-876a-3682b7c2f438,Leipzig,Frequent,Single,86.0,F,9150.030383374957,3.6600121533499834,0.0096916877633906,2.0,,0.0
f5d1aeed-00e4-49e8-a703-6228069c1600,Hamburg,Occasional,Living together,19.0,M,14524.487716822116,5.809795086728847,0.0341744531879007,1.0,2015-10-26 00:00:00,0.0
8b5883aa-d793-4ec4-9952-72b788fac7b4,Dortmund,Standard,Living together,47.0,M,7642.73817718751,3.057095270875004,0.0104817743808656,1.0,2018-04-05 00:00:00,1.0
