user_id,account_id,total_spending,average_order_value
fd7ae119-6df8-443b-8477-87245a8eb057,2,1503.9202254884333,131.0
99288779-78e9-42a2-9484-70fb8a6b8774,1,17827.780163521827,256.0
e4e8b5e9-7a53-4be2-a240-b139cd352f62,2,669.2877628796366,103.0
197defa3-c543-499c-9b38-5f025c92a79c,1,7465.126127020759,191.0
2109dda6-9805-429b-8812-5933072c18cd,1,12696.943789066492,208.0
5c7b00ae-78cb-41b4-90cd-84fb4b81b1f4,1,6194.495119730917,126.0
fd84843f-7724-4496-97f4-aece51c90a8c,1,24438.38772628414,152.0
266cfa3b-ee45-4ce8-9d03-54a13ad713a2,1,40389.78190333408,142.0
d5991b35-fc7a-4cee-89eb-89f07068acf1,1,17027.76357550634,269.0
14ec2ea5-e91d-4de8-94a1-6605e824ac43,1,22391.99119018765,239.0
9ce6e61b-4935-4847-b98f-2b6d5d54e67a,1,19179.883045923903,182.0
7034aaec-3bd6-4971-a19f-9ae836b7191d,1,11603.080716235094,295.0
bd471993-3f0e-44e4-b57f-3da1960d3ec8,1,27231.44870590951,228.0
9d891187-47b0-4f13-99b2-f701dd1cdfbb,2,7659.33038987819,99.0
d4bec1f1-06c8-4936-9e80-a15ebfa3af28,1,22281.789070206305,225.0
a5e673cd-344a-4106-8b6b-ba3d5400a6f2,1,25654.723947348,312.0
f1c816af-26e7-4950-b963-e0561db90cff,1,41778.69811773402,
5ef059db-8c77-4a43-95cd-94f532b1d0dd,1,10149.083292735284,187.0
901dfafb-6fee-4c3c-9fb2-de5a676d59cd,2,1903.167410653193,278.0
be14fb0b-e1cf-4d15-b96a-716932aaffbe,1,4524.690986234474,253.0
c0467131-690f-47f5-aba1-2d24c64fbbba,1,39648.38770394069,223.0
83b1aa85-7b29-4171-b05f-05059c66fc5a,1,49985.741349101554,328.0
a46cf341-99af-4b1d-9b13-d1b39172b92e,1,5852.350899981957,216.0
1129c9ed-de1b-40ec-8fca-87d864ef68ba,1,14222.756660728986,146.0
db81799d-2f7c-4cd8-ad3b-c828027c7b05,1,27532.810491414846,341.0
679c1727-8924-4c0f-bcaa-a8c26f43a674,1,21734.72625816705,190.0
6a7c450f-7205-4830-93a5-c82cd65a2e8d,1,26289.099768566903,250.0
4c40e7d1-95f4-470e-bb86-464a693d882a,2,9714.232383947457,316.0
af59dfaf-604f-4f2e-bc71-63ea9d2d894f,2,,111.0
f2d8b806-d2df-42bf-9fca-e2743ef8d54c,2,14859.313552556518,133.0
7a021f5a-793c-463a-a59f-72cb1d33ecbc,1,23000.881294426905,200.0
6d9212c6-f830-499b-92c2-848429acb617,1,41507.74278888723,251.0
c7cfbfe5-bc0b-4228-b418-a3ca0d99fe97,2,18902.134360338798,176.0
6e077d09-df0d-42f1-9796-1b488a34ff4f,2,10959.787567865154,199.0
48c0972a-258f-4343-bd64-1ed721a0df5c,1,19531.02259917939,275.0
ffea4e1e-ddb8-442c-b336-ae97d3e75209,1,10361.552541063656,169.0
d40d9f98-81f0-480e-bba4-bd987ca97666,1,48825.36466564536,157.0
3b5da3f6-82d8-4621-98a8-d91aa192ba93,1,38972.17468806193,104.0
6b62ddda-0593-47d6-9d27-89546cc518d7,1,11632.253032865146,200.0
4a304ac0-838e-489f-9db9-a58517891b95,1,30380.388589042734,269.0
fd5603d2-46ed-436d-bc12-a17efa2ee603,2,9013.361015051023,226.0
11db193c-1bbc-45b9-bb52-3424a0c742c8,1,16960.089641367354,114.0
adc411db-6761-40f7-9f90-7f3d58ad1b1c,1,22651.54721228714,220.0
e9add7b5-4da6-428d-95ad-ed695059c591,1,15395.752641925696,190.0
812609ef-8f00-4f4d-b2d8-40289d6a9965,2,46229.72962092387,Not avail.
3b56c8e0-4b5d-44d8-a59b-2d718af0aa9e,1,29966.113312270587,125.0
fd9675ed-bbad-4961-8945-ade3b924fd54,1,16841.124419048534,230.0
